[libx264 @ 0xaaab05600cf0] using cpu capabilities: ARMv8 NEON
[libx264 @ 0xaaab05600cf0] profile High, level 3.0
pts:62464 pts_time:4.88 dts:61952 dts_time:4.84 duration:0 duration_time:0 stream_index:0
pts:63488 pts_time:4.96 dts:62464 dts_time:4.88 duration:0 duration_time:0 stream_index:0
pts:64000 pts_time:5 dts:62976 dts_time:4.92 duration:0 duration_time:0 stream_index:0
pts:65024 pts_time:5.08 dts:63488 dts_time:4.96 duration:0 duration_time:0 stream_index:0
pts:64512 pts_time:5.04 dts:64000 dts_time:5 duration:0 duration_time:0 stream_index:0
pts:65536 pts_time:5.12 dts:64512 dts_time:5.04 duration:0 duration_time:0 stream_index:0
pts:66048 pts_time:5.16 dts:65024 dts_time:5.08 duration:0 duration_time:0 stream_index:0
pts:68096 pts_time:5.32 dts:65536 dts_time:5.12 duration:0 duration_time:0 stream_index:0
pts:67072 pts_time:5.24 dts:66048 dts_time:5.16 duration:0 duration_time:0 stream_index:0
pts:66560 pts_time:5.2 dts:66560 dts_time:5.2 duration:0 duration_time:0 stream_index:0
pts:67584 pts_time:5.28 dts:67072 dts_time:5.24 duration:0 duration_time:0 stream_index:0
pts:69632 pts_time:5.44 dts:67584 dts_time:5.28 duration:0 duration_time:0 stream_index:0
pts:68608 pts_time:5.36 dts:68096 dts_time:5.32 duration:0 duration_time:0 stream_index:0
pts:69120 pts_time:5.4 dts:68608 dts_time:5.36 duration:0 duration_time:0 stream_index:0
pts:70144 pts_time:5.48 dts:69120 dts_time:5.4 duration:0 duration_time:0 stream_index:0
pts:70656 pts_time:5.52 dts:69632 dts_time:5.44 duration:0 duration_time:0 stream_index:0
pts:71168 pts_time:5.56 dts:70144 dts_time:5.48 duration:0 duration_time:0 stream_index:0
pts:71680 pts_time:5.6 dts:70656 dts_time:5.52 duration:0 duration_time:0 stream_index:0
pts:72192 pts_time:5.64 dts:71168 dts_time:5.56 duration:0 duration_time:0 stream_index:0
pts:72704 pts_time:5.68 dts:71680 dts_time:5.6 duration:0 duration_time:0 stream_index:0
pts:74240 pts_time:5.8 dts:72192 dts_time:5.64 duration:0 duration_time:0 stream_index:0
pts:73216 pts_time:5.72 dts:72704 dts_time:5.68 duration:0 duration_time:0 stream_index:0
pts:73728 pts_time:5.76 dts:73216 dts_time:5.72 duration:0 duration_time:0 stream_index:0
pts:75776 pts_time:5.92 dts:73728 dts_time:5.76 duration:0 duration_time:0 stream_index:0
pts:74752 pts_time:5.84 dts:74240 dts_time:5.8 duration:0 duration_time:0 stream_index:0
pts:75264 pts_time:5.88 dts:74752 dts_time:5.84 duration:0 duration_time:0 stream_index:0
pts:76288 pts_time:5.96 dts:75264 dts_time:5.88 duration:0 duration_time:0 stream_index:0
pts:78336 pts_time:6.12 dts:75776 dts_time:5.92 duration:0 duration_time:0 stream_index:0
pts:77312 pts_time:6.04 dts:76288 dts_time:5.96 duration:0 duration_time:0 stream_index:0
pts:76800 pts_time:6 dts:76800 dts_time:6 duration:0 duration_time:0 stream_index:0
pts:77824 pts_time:6.08 dts:77312 dts_time:6.04 duration:0 duration_time:0 stream_index:0
pts:80384 pts_time:6.28 dts:77824 dts_time:6.08 duration:0 duration_time:0 stream_index:0
pts:79360 pts_time:6.2 dts:78336 dts_time:6.12 duration:0 duration_time:0 stream_index:0
pts:78848 pts_time:6.16 dts:78848 dts_time:6.16 duration:0 duration_time:0 stream_index:0
pts:79872 pts_time:6.24 dts:79360 dts_time:6.2 duration:0 duration_time:0 stream_index:0
pts:81920 pts_time:6.4 dts:79872 dts_time:6.24 duration:0 duration_time:0 stream_index:0
pts:80896 pts_time:6.32 dts:80384 dts_time:6.28 duration:0 duration_time:0 stream_index:0
pts:81408 pts_time:6.36 dts:80896 dts_time:6.32 duration:0 duration_time:0 stream_index:0
pts:82432 pts_time:6.44 dts:81408 dts_time:6.36 duration:0 duration_time:0 stream_index:0
pts:83456 pts_time:6.52 dts:81920 dts_time:6.4 duration:0 duration_time:0 stream_index:0
pts:82944 pts_time:6.48 dts:82432 dts_time:6.44 duration:0 duration_time:0 stream_index:0
pts:84480 pts_time:6.6 dts:82944 dts_time:6.48 duration:0 duration_time:0 stream_index:0
pts:83968 pts_time:6.56 dts:83456 dts_time:6.52 duration:0 duration_time:0 stream_index:0
pts:86528 pts_time:6.76 dts:83968 dts_time:6.56 duration:0 duration_time:0 stream_index:0
pts:85504 pts_time:6.68 dts:84480 dts_time:6.6 duration:0 duration_time:0 stream_index:0
pts:84992 pts_time:6.64 dts:84992 dts_time:6.64 duration:0 duration_time:0 stream_index:0
pts:86016 pts_time:6.72 dts:85504 dts_time:6.68 duration:0 duration_time:0 stream_index:0
pts:88064 pts_time:6.88 dts:86016 dts_time:6.72 duration:0 duration_time:0 stream_index:0
pts:87040 pts_time:6.8 dts:86528 dts_time:6.76 duration:0 duration_time:0 stream_index:0
pts:87552 pts_time:6.84 dts:87040 dts_time:6.8 duration:0 duration_time:0 stream_index:0
pts:88576 pts_time:6.92 dts:87552 dts_time:6.84 duration:0 duration_time:0 stream_index:0
pts:89600 pts_time:7 dts:88064 dts_time:6.88 duration:0 duration_time:0 stream_index:0
pts:89088 pts_time:6.96 dts:88576 dts_time:6.92 duration:0 duration_time:0 stream_index:0
pts:91136 pts_time:7.12 dts:89088 dts_time:6.96 duration:0 duration_time:0 stream_index:0
pts:90112 pts_time:7.04 dts:89600 dts_time:7 duration:0 duration_time:0 stream_index:0
pts:90624 pts_time:7.08 dts:90112 dts_time:7.04 duration:0 duration_time:0 stream_index:0
pts:91648 pts_time:7.16 dts:90624 dts_time:7.08 duration:0 duration_time:0 stream_index:0
pts:92672 pts_time:7.24 dts:91136 dts_time:7.12 duration:0 duration_time:0 stream_index:0
pts:92160 pts_time:7.2 dts:91648 dts_time:7.16 duration:0 duration_time:0 stream_index:0
pts:93696 pts_time:7.32 dts:92160 dts_time:7.2 duration:0 duration_time:0 stream_index:0
pts:93184 pts_time:7.28 dts:92672 dts_time:7.24 duration:0 duration_time:0 stream_index:0
pts:94208 pts_time:7.36 dts:93184 dts_time:7.28 duration:0 duration_time:0 stream_index:0
pts:94720 pts_time:7.4 dts:93696 dts_time:7.32 duration:0 duration_time:0 stream_index:0
pts:95232 pts_time:7.44 dts:94208 dts_time:7.36 duration:0 duration_time:0 stream_index:0
pts:95744 pts_time:7.48 dts:94720 dts_time:7.4 duration:0 duration_time:0 stream_index:0
pts:96256 pts_time:7.52 dts:95232 dts_time:7.44 duration:0 duration_time:0 stream_index:0
pts:96768 pts_time:7.56 dts:95744 dts_time:7.48 duration:0 duration_time:0 stream_index:0
pts:98816 pts_time:7.72 dts:96256 dts_time:7.52 duration:0 duration_time:0 stream_index:0
pts:97792 pts_time:7.64 dts:96768 dts_time:7.56 duration:0 duration_time:0 stream_index:0
pts:97280 pts_time:7.6 dts:97280 dts_time:7.6 duration:0 duration_time:0 stream_index:0
pts:98304 pts_time:7.68 dts:97792 dts_time:7.64 duration:0 duration_time:0 stream_index:0
pts:99840 pts_time:7.8 dts:98304 dts_time:7.68 duration:0 duration_time:0 stream_index:0
pts:99328 pts_time:7.76 dts:98816 dts_time:7.72 duration:0 duration_time:0 stream_index:0
pts:100352 pts_time:7.84 dts:99328 dts_time:7.76 duration:0 duration_time:0 stream_index:0
