pts:107520 pts_time:2.4381 dts:107520 dts_time:2.4381 duration:1024 duration_time:0.02322 stream_index:1
pts:108544 pts_time:2.46132 dts:108544 dts_time:2.46132 duration:1024 duration_time:0.02322 stream_index:1
pts:16896 pts_time:1.32 dts:15360 dts_time:1.2 duration:0 duration_time:0 stream_index:0
pts:109568 pts_time:2.48454 dts:109568 dts_time:2.48454 duration:1024 duration_time:0.02322 stream_index:1
pts:110592 pts_time:2.50776 dts:110592 dts_time:2.50776 duration:1024 duration_time:0.02322 stream_index:1
pts:16384 pts_time:1.28 dts:15872 dts_time:1.24 duration:0 duration_time:0 stream_index:0
pts:111616 pts_time:2.53098 dts:111616 dts_time:2.53098 duration:1024 duration_time:0.02322 stream_index:1
pts:17920 pts_time:1.4 dts:16384 dts_time:1.28 duration:0 duration_time:0 stream_index:0
pts:112640 pts_time:2.5542 dts:112640 dts_time:2.5542 duration:1024 duration_time:0.02322 stream_index:1
pts:113664 pts_time:2.57741 dts:113664 dts_time:2.57741 duration:1024 duration_time:0.02322 stream_index:1
pts:17408 pts_time:1.36 dts:16896 dts_time:1.32 duration:0 duration_time:0 stream_index:0
pts:114688 pts_time:2.60063 dts:114688 dts_time:2.60063 duration:1024 duration_time:0.02322 stream_index:1
pts:115712 pts_time:2.62385 dts:115712 dts_time:2.62385 duration:1024 duration_time:0.02322 stream_index:1
pts:18432 pts_time:1.44 dts:17408 dts_time:1.36 duration:0 duration_time:0 stream_index:0
pts:116736 pts_time:2.64707 dts:116736 dts_time:2.64707 duration:1024 duration_time:0.02322 stream_index:1
pts:117760 pts_time:2.67029 dts:117760 dts_time:2.67029 duration:1024 duration_time:0.02322 stream_index:1
pts:19456 pts_time:1.52 dts:17920 dts_time:1.4 duration:0 duration_time:0 stream_index:0
pts:118784 pts_time:2.69351 dts:118784 dts_time:2.69351 duration:1024 duration_time:0.02322 stream_index:1
pts:18944 pts_time:1.48 dts:18432 dts_time:1.44 duration:0 duration_time:0 stream_index:0
pts:119808 pts_time:2.71673 dts:119808 dts_time:2.71673 duration:1024 duration_time:0.02322 stream_index:1
pts:120832 pts_time:2.73995 dts:120832 dts_time:2.73995 duration:1024 duration_time:0.02322 stream_index:1
pts:19968 pts_time:1.56 dts:18944 dts_time:1.48 duration:0 duration_time:0 stream_index:0
pts:121856 pts_time:2.76317 dts:121856 dts_time:2.76317 duration:1024 duration_time:0.02322 stream_index:1
pts:122880 pts_time:2.78639 dts:122880 dts_time:2.78639 duration:1024 duration_time:0.02322 stream_index:1
pts:20480 pts_time:1.6 dts:19456 dts_time:1.52 duration:0 duration_time:0 stream_index:0
pts:123904 pts_time:2.80961 dts:123904 dts_time:2.80961 duration:1024 duration_time:0.02322 stream_index:1
pts:124928 pts_time:2.83283 dts:124928 dts_time:2.83283 duration:1024 duration_time:0.02322 stream_index:1
pts:20992 pts_time:1.64 dts:19968 dts_time:1.56 duration:0 duration_time:0 stream_index:0
pts:125952 pts_time:2.85605 dts:125952 dts_time:2.85605 duration:1024 duration_time:0.02322 stream_index:1
pts:21504 pts_time:1.68 dts:20480 dts_time:1.6 duration:0 duration_time:0 stream_index:0
pts:126976 pts_time:2.87927 dts:126976 dts_time:2.87927 duration:1024 duration_time:0.02322 stream_index:1
pts:128000 pts_time:2.90249 dts:128000 dts_time:2.90249 duration:1024 duration_time:0.02322 stream_index:1
pts:22016 pts_time:1.72 dts:20992 dts_time:1.64 duration:0 duration_time:0 stream_index:0
pts:129024 pts_time:2.92571 dts:129024 dts_time:2.92571 duration:1024 duration_time:0.02322 stream_index:1
pts:130048 pts_time:2.94893 dts:130048 dts_time:2.94893 duration:1024 duration_time:0.02322 stream_index:1
pts:22528 pts_time:1.76 dts:21504 dts_time:1.68 duration:0 duration_time:0 stream_index:0
pts:131072 pts_time:2.97215 dts:131072 dts_time:2.97215 duration:1024 duration_time:0.02322 stream_index:1
pts:23040 pts_time:1.8 dts:22016 dts_time:1.72 duration:0 duration_time:0 stream_index:0
pts:132096 pts_time:2.99537 dts:132096 dts_time:2.99537 duration:1024 duration_time:0.02322 stream_index:1
pts:133120 pts_time:3.01859 dts:133120 dts_time:3.01859 duration:1024 duration_time:0.02322 stream_index:1
pts:23552 pts_time:1.84 dts:22528 dts_time:1.76 duration:0 duration_time:0 stream_index:0
pts:134144 pts_time:3.04181 dts:134144 dts_time:3.04181 duration:1024 duration_time:0.02322 stream_index:1
pts:135168 pts_time:3.06503 dts:135168 dts_time:3.06503 duration:1024 duration_time:0.02322 stream_index:1
pts:24064 pts_time:1.88 dts:23040 dts_time:1.8 duration:0 duration_time:0 stream_index:0
pts:136192 pts_time:3.08825 dts:136192 dts_time:3.08825 duration:1024 duration_time:0.02322 stream_index:1
pts:137216 pts_time:3.11147 dts:137216 dts_time:3.11147 duration:1024 duration_time:0.02322 stream_index:1
pts:24576 pts_time:1.92 dts:23552 dts_time:1.84 duration:0 duration_time:0 stream_index:0
pts:138240 pts_time:3.13469 dts:138240 dts_time:3.13469 duration:1024 duration_time:0.02322 stream_index:1
pts:25088 pts_time:1.96 dts:24064 dts_time:1.88 duration:0 duration_time:0 stream_index:0
pts:139264 pts_time:3.15791 dts:139264 dts_time:3.15791 duration:1024 duration_time:0.02322 stream_index:1
pts:140288 pts_time:3.18113 dts:140288 dts_time:3.18113 duration:1024 duration_time:0.02322 stream_index:1
pts:25600 pts_time:2 dts:24576 dts_time:1.92 duration:0 duration_time:0 stream_index:0
pts:141312 pts_time:3.20435 dts:141312 dts_time:3.20435 duration:1024 duration_time:0.02322 stream_index:1
pts:142336 pts_time:3.22757 dts:142336 dts_time:3.22757 duration:1024 duration_time:0.02322 stream_index:1
pts:26112 pts_time:2.04 dts:25088 dts_time:1.96 duration:0 duration_time:0 stream_index:0
pts:143360 pts_time:3.25079 dts:143360 dts_time:3.25079 duration:1024 duration_time:0.02322 stream_index:1
pts:26624 pts_time:2.08 dts:25600 dts_time:2 duration:0 duration_time:0 stream_index:0
pts:144384 pts_time:3.27401 dts:144384 dts_time:3.27401 duration:1024 duration_time:0.02322 stream_index:1
pts:145408 pts_time:3.29723 dts:145408 dts_time:3.29723 duration:1024 duration_time:0.02322 stream_index:1
pts:27136 pts_time:2.12 dts:26112 dts_time:2.04 duration:0 duration_time:0 stream_index:0
pts:146432 pts_time:3.32045 dts:146432 dts_time:3.32045 duration:1024 duration_time:0.02322 stream_index:1
pts:147456 pts_time:3.34367 dts:147456 dts_time:3.34367 duration:1024 duration_time:0.02322 stream_index:1
pts:27648 pts_time:2.16 dts:26624 dts_time:2.08 duration:0 duration_time:0 stream_index:0
pts:148480 pts_time:3.36689 dts:148480 dts_time:3.36689 duration:1024 duration_time:0.02322 stream_index:1
pts:149504 pts_time:3.39011 dts:149504 dts_time:3.39011 duration:1024 duration_time:0.02322 stream_index:1
pts:28160 pts_time:2.2 dts:27136 dts_time:2.12 duration:0 duration_time:0 stream_index:0
pts:150528 pts_time:3.41333 dts:150528 dts_time:3.41333 duration:1024 duration_time:0.02322 stream_index:1
pts:28672 pts_time:2.24 dts:27648 dts_time:2.16 duration:0 duration_time:0 stream_index:0
pts:151552 pts_time:3.43655 dts:151552 dts_time:3.43655 duration:1024 duration_time:0.02322 stream_index:1
pts:152576 pts_time:3.45977 dts:152576 dts_time:3.45977 duration:1024 duration_time:0.02322 stream_index:1
