运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_ft:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-arm64/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
音频编码
Output #0, adts, to '/tmp/04.aac':
    Stream #0:0: Audio: aac (LC), 44100 Hz, stereo, fltp, 64 kb/s
pts:140288 pts_time:3.18113 dts:140288 dts_time:3.18113 duration:1024 duration_time:0.02322 stream_index:0
pts:141312 pts_time:3.20435 dts:141312 dts_time:3.20435 duration:1024 duration_time:0.02322 stream_index:0
pts:142336 pts_time:3.22757 dts:142336 dts_time:3.22757 duration:1024 duration_time:0.02322 stream_index:0
pts:143360 pts_time:3.25079 dts:143360 dts_time:3.25079 duration:1024 duration_time:0.02322 stream_index:0
pts:144384 pts_time:3.27401 dts:144384 dts_time:3.27401 duration:1024 duration_time:0.02322 stream_index:0
pts:145408 pts_time:3.29723 dts:145408 dts_time:3.29723 duration:1024 duration_time:0.02322 stream_index:0
pts:146432 pts_time:3.32045 dts:146432 dts_time:3.32045 duration:1024 duration_time:0.02322 stream_index:0
pts:147456 pts_time:3.34367 dts:147456 dts_time:3.34367 duration:1024 duration_time:0.02322 stream_index:0
pts:148480 pts_time:3.36689 dts:148480 dts_time:3.36689 duration:1024 duration_time:0.02322 stream_index:0
pts:149504 pts_time:3.39011 dts:149504 dts_time:3.39011 duration:1024 duration_time:0.02322 stream_index:0
pts:150528 pts_time:3.41333 dts:150528 dts_time:3.41333 duration:1024 duration_time:0.02322 stream_index:0
pts:151552 pts_time:3.43655 dts:151552 dts_time:3.43655 duration:1024 duration_time:0.02322 stream_index:0
pts:152576 pts_time:3.45977 dts:152576 dts_time:3.45977 duration:1024 duration_time:0.02322 stream_index:0
pts:153600 pts_time:3.48299 dts:153600 dts_time:3.48299 duration:1024 duration_time:0.02322 stream_index:0
pts:154624 pts_time:3.50621 dts:154624 dts_time:3.50621 duration:1024 duration_time:0.02322 stream_index:0
pts:155648 pts_time:3.52943 dts:155648 dts_time:3.52943 duration:1024 duration_time:0.02322 stream_index:0
pts:156672 pts_time:3.55265 dts:156672 dts_time:3.55265 duration:1024 duration_time:0.02322 stream_index:0
pts:157696 pts_time:3.57587 dts:157696 dts_time:3.57587 duration:1024 duration_time:0.02322 stream_index:0
pts:158720 pts_time:3.59909 dts:158720 dts_time:3.59909 duration:1024 duration_time:0.02322 stream_index:0
pts:159744 pts_time:3.62231 dts:159744 dts_time:3.62231 duration:1024 duration_time:0.02322 stream_index:0
pts:160768 pts_time:3.64553 dts:160768 dts_time:3.64553 duration:1024 duration_time:0.02322 stream_index:0
pts:161792 pts_time:3.66875 dts:161792 dts_time:3.66875 duration:1024 duration_time:0.02322 stream_index:0
pts:162816 pts_time:3.69197 dts:162816 dts_time:3.69197 duration:1024 duration_time:0.02322 stream_index:0
pts:163840 pts_time:3.71519 dts:163840 dts_time:3.71519 duration:1024 duration_time:0.02322 stream_index:0
pts:164864 pts_time:3.73841 dts:164864 dts_time:3.73841 duration:1024 duration_time:0.02322 stream_index:0
pts:165888 pts_time:3.76163 dts:165888 dts_time:3.76163 duration:1024 duration_time:0.02322 stream_index:0
pts:166912 pts_time:3.78485 dts:166912 dts_time:3.78485 duration:1024 duration_time:0.02322 stream_index:0
pts:167936 pts_time:3.80807 dts:167936 dts_time:3.80807 duration:1024 duration_time:0.02322 stream_index:0
pts:168960 pts_time:3.83129 dts:168960 dts_time:3.83129 duration:1024 duration_time:0.02322 stream_index:0
pts:169984 pts_time:3.85451 dts:169984 dts_time:3.85451 duration:1024 duration_time:0.02322 stream_index:0
pts:171008 pts_time:3.87773 dts:171008 dts_time:3.87773 duration:1024 duration_time:0.02322 stream_index:0
pts:172032 pts_time:3.90095 dts:172032 dts_time:3.90095 duration:1024 duration_time:0.02322 stream_index:0
pts:173056 pts_time:3.92417 dts:173056 dts_time:3.92417 duration:1024 duration_time:0.02322 stream_index:0
pts:174080 pts_time:3.94739 dts:174080 dts_time:3.94739 duration:1024 duration_time:0.02322 stream_index:0
pts:175104 pts_time:3.97061 dts:175104 dts_time:3.97061 duration:1024 duration_time:0.02322 stream_index:0
pts:176128 pts_time:3.99383 dts:176128 dts_time:3.99383 duration:1024 duration_time:0.02322 stream_index:0
pts:177152 pts_time:4.01705 dts:177152 dts_time:4.01705 duration:1024 duration_time:0.02322 stream_index:0
pts:178176 pts_time:4.04027 dts:178176 dts_time:4.04027 duration:1024 duration_time:0.02322 stream_index:0
pts:179200 pts_time:4.06349 dts:179200 dts_time:4.06349 duration:1024 duration_time:0.02322 stream_index:0
pts:180224 pts_time:4.08671 dts:180224 dts_time:4.08671 duration:1024 duration_time:0.02322 stream_index:0
pts:181248 pts_time:4.10993 dts:181248 dts_time:4.10993 duration:1024 duration_time:0.02322 stream_index:0
