[libx264 @ 0xaaaac2024d00] using cpu capabilities: ARMv8 NEON
[libx264 @ 0xaaaac2024d00] profile High, level 3.0
Output #0, h264, to '04.h264':
    Stream #0:0: Video: h264, yuv420p, 640x480, q=2-31, 400 kb/s, 25 tbn
视频编码
pts:215 pts_time:8.6 dts:213 dts_time:8.52 duration:0 duration_time:0 stream_index:0
pts:217 pts_time:8.68 dts:214 dts_time:8.56 duration:0 duration_time:0 stream_index:0
pts:216 pts_time:8.64 dts:215 dts_time:8.6 duration:0 duration_time:0 stream_index:0
pts:218 pts_time:8.72 dts:216 dts_time:8.64 duration:0 duration_time:0 stream_index:0
pts:219 pts_time:8.76 dts:217 dts_time:8.68 duration:0 duration_time:0 stream_index:0
pts:220 pts_time:8.8 dts:218 dts_time:8.72 duration:0 duration_time:0 stream_index:0
pts:221 pts_time:8.84 dts:219 dts_time:8.76 duration:0 duration_time:0 stream_index:0
pts:222 pts_time:8.88 dts:220 dts_time:8.8 duration:0 duration_time:0 stream_index:0
pts:223 pts_time:8.92 dts:221 dts_time:8.84 duration:0 duration_time:0 stream_index:0
pts:224 pts_time:8.96 dts:222 dts_time:8.88 duration:0 duration_time:0 stream_index:0
pts:225 pts_time:9 dts:223 dts_time:8.92 duration:0 duration_time:0 stream_index:0
pts:226 pts_time:9.04 dts:224 dts_time:8.96 duration:0 duration_time:0 stream_index:0
pts:227 pts_time:9.08 dts:225 dts_time:9 duration:0 duration_time:0 stream_index:0
[libx264 @ 0xaaaac2024d00] frame I:22    Avg QP:26.00  size: 13909
[libx264 @ 0xaaaac2024d00] frame P:159   Avg QP:30.21  size:  1695
[libx264 @ 0xaaaac2024d00] frame B:70    Avg QP:34.47  size:   684
[libx264 @ 0xaaaac2024d00] consecutive B-frames: 54.6% 19.9% 14.3% 11.2%
[libx264 @ 0xaaaac2024d00] mb I  I16..4: 36.2% 47.5% 16.3%
[libx264 @ 0xaaaac2024d00] mb P  I16..4: 11.2%  3.0%  0.5%  P16..4: 33.8%  0.9%  1.3%  0.0%  0.0%    skip:49.3%
[libx264 @ 0xaaaac2024d00] mb B  I16..4:  0.2%  4.0%  0.0%  B16..8: 10.5%  0.1%  0.0%  direct: 7.2%  skip:78.0%  L0:66.9% L1:32.0% BI: 1.2%
[libx264 @ 0xaaaac2024d00] final ratefactor: 30.25
[libx264 @ 0xaaaac2024d00] 8x8 transform intra:37.3% inter:88.7%
[libx264 @ 0xaaaac2024d00] coded y,uvDC,uvAC intra: 47.3% 82.2% 36.1% inter: 3.2% 25.9% 1.3%
[libx264 @ 0xaaaac2024d00] i16 v,h,dc,p:  3%  5%  2% 90%
[libx264 @ 0xaaaac2024d00] i8 v,h,dc,ddl,ddr,vr,hd,vl,hu: 24% 16% 46%  5%  1%  1%  1%  4%  2%
[libx264 @ 0xaaaac2024d00] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 43% 25% 17% 11%  1%  1%  1%  2%  1%
[libx264 @ 0xaaaac2024d00] i8c dc,h,v,p: 38% 32% 17% 13%
[libx264 @ 0xaaaac2024d00] Weighted P-Frames: Y:4.4% UV:1.3%
[libx264 @ 0xaaaac2024d00] ref P L0: 84.9%  7.7%  6.5%  0.8%  0.1%
[libx264 @ 0xaaaac2024d00] ref B L0: 85.6% 13.3%  1.1%
[libx264 @ 0xaaaac2024d00] ref B L1: 97.5%  2.5%
[libx264 @ 0xaaaac2024d00] kb/s:496.69
pts:229 pts_time:9.16 dts:226 dts_time:9.04 duration:0 duration_time:0 stream_index:0
pts:228 pts_time:9.12 dts:227 dts_time:9.08 duration:0 duration_time:0 stream_index:0
pts:230 pts_time:9.2 dts:228 dts_time:9.12 duration:0 duration_time:0 stream_index:0
pts:231 pts_time:9.24 dts:229 dts_time:9.16 duration:0 duration_time:0 stream_index:0
pts:232 pts_time:9.28 dts:230 dts_time:9.2 duration:0 duration_time:0 stream_index:0
pts:233 pts_time:9.32 dts:231 dts_time:9.24 duration:0 duration_time:0 stream_index:0
pts:234 pts_time:9.36 dts:232 dts_time:9.28 duration:0 duration_time:0 stream_index:0
pts:235 pts_time:9.4 dts:233 dts_time:9.32 duration:0 duration_time:0 stream_index:0
pts:236 pts_time:9.44 dts:234 dts_time:9.36 duration:0 duration_time:0 stream_index:0
pts:237 pts_time:9.48 dts:235 dts_time:9.4 duration:0 duration_time:0 stream_index:0
pts:238 pts_time:9.52 dts:236 dts_time:9.44 duration:0 duration_time:0 stream_index:0
pts:241 pts_time:9.64 dts:237 dts_time:9.48 duration:0 duration_time:0 stream_index:0
pts:239 pts_time:9.56 dts:238 dts_time:9.52 duration:0 duration_time:0 stream_index:0
pts:240 pts_time:9.6 dts:239 dts_time:9.56 duration:0 duration_time:0 stream_index:0
pts:242 pts_time:9.68 dts:240 dts_time:9.6 duration:0 duration_time:0 stream_index:0
pts:243 pts_time:9.72 dts:241 dts_time:9.64 duration:0 duration_time:0 stream_index:0
pts:244 pts_time:9.76 dts:242 dts_time:9.68 duration:0 duration_time:0 stream_index:0
pts:245 pts_time:9.8 dts:243 dts_time:9.72 duration:0 duration_time:0 stream_index:0
pts:246 pts_time:9.84 dts:244 dts_time:9.76 duration:0 duration_time:0 stream_index:0
pts:248 pts_time:9.92 dts:245 dts_time:9.8 duration:0 duration_time:0 stream_index:0
pts:247 pts_time:9.88 dts:246 dts_time:9.84 duration:0 duration_time:0 stream_index:0
pts:249 pts_time:9.96 dts:247 dts_time:9.88 duration:0 duration_time:0 stream_index:0
pts:250 pts_time:10 dts:248 dts_time:9.92 duration:0 duration_time:0 stream_index:0
