运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_lx:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.flv
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-mips64el/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.flv
OpenJDK 64-Bit Zero VM warning: You have loaded library /usr/lib/libffmpeg-jni.so which might have disabled stack guard. The VM will try to fix the stack guard now.
It's highly recommended that you fix the library with 'execstack -c <libfile>', or link it with '-z noexecstack'.
视频编码
Output #0, flv, to '/tmp/02.flv':
    Stream #0:0: Video: flv1, yuv420p, 640x480, q=2-31, 400 kb/s, 25 tbn
pts:5600 pts_time:5.6 dts:5600 dts_time:5.6 duration:0 duration_time:0 stream_index:0
pts:5640 pts_time:5.64 dts:5640 dts_time:5.64 duration:0 duration_time:0 stream_index:0
pts:5680 pts_time:5.68 dts:5680 dts_time:5.68 duration:0 duration_time:0 stream_index:0
pts:5720 pts_time:5.72 dts:5720 dts_time:5.72 duration:0 duration_time:0 stream_index:0
pts:5760 pts_time:5.76 dts:5760 dts_time:5.76 duration:0 duration_time:0 stream_index:0
pts:5800 pts_time:5.8 dts:5800 dts_time:5.8 duration:0 duration_time:0 stream_index:0
pts:5840 pts_time:5.84 dts:5840 dts_time:5.84 duration:0 duration_time:0 stream_index:0
pts:5880 pts_time:5.88 dts:5880 dts_time:5.88 duration:0 duration_time:0 stream_index:0
pts:5920 pts_time:5.92 dts:5920 dts_time:5.92 duration:0 duration_time:0 stream_index:0
pts:5960 pts_time:5.96 dts:5960 dts_time:5.96 duration:0 duration_time:0 stream_index:0
pts:6000 pts_time:6 dts:6000 dts_time:6 duration:0 duration_time:0 stream_index:0
pts:6040 pts_time:6.04 dts:6040 dts_time:6.04 duration:0 duration_time:0 stream_index:0
pts:6080 pts_time:6.08 dts:6080 dts_time:6.08 duration:0 duration_time:0 stream_index:0
pts:6120 pts_time:6.12 dts:6120 dts_time:6.12 duration:0 duration_time:0 stream_index:0
pts:6160 pts_time:6.16 dts:6160 dts_time:6.16 duration:0 duration_time:0 stream_index:0
pts:6200 pts_time:6.2 dts:6200 dts_time:6.2 duration:0 duration_time:0 stream_index:0
pts:6240 pts_time:6.24 dts:6240 dts_time:6.24 duration:0 duration_time:0 stream_index:0
pts:6280 pts_time:6.28 dts:6280 dts_time:6.28 duration:0 duration_time:0 stream_index:0
pts:6320 pts_time:6.32 dts:6320 dts_time:6.32 duration:0 duration_time:0 stream_index:0
pts:6360 pts_time:6.36 dts:6360 dts_time:6.36 duration:0 duration_time:0 stream_index:0
pts:6400 pts_time:6.4 dts:6400 dts_time:6.4 duration:0 duration_time:0 stream_index:0
pts:6440 pts_time:6.44 dts:6440 dts_time:6.44 duration:0 duration_time:0 stream_index:0
pts:6480 pts_time:6.48 dts:6480 dts_time:6.48 duration:0 duration_time:0 stream_index:0
pts:6520 pts_time:6.52 dts:6520 dts_time:6.52 duration:0 duration_time:0 stream_index:0
pts:6560 pts_time:6.56 dts:6560 dts_time:6.56 duration:0 duration_time:0 stream_index:0
pts:6600 pts_time:6.6 dts:6600 dts_time:6.6 duration:0 duration_time:0 stream_index:0
pts:6640 pts_time:6.64 dts:6640 dts_time:6.64 duration:0 duration_time:0 stream_index:0
pts:6680 pts_time:6.68 dts:6680 dts_time:6.68 duration:0 duration_time:0 stream_index:0
pts:6720 pts_time:6.72 dts:6720 dts_time:6.72 duration:0 duration_time:0 stream_index:0
pts:6760 pts_time:6.76 dts:6760 dts_time:6.76 duration:0 duration_time:0 stream_index:0
pts:6800 pts_time:6.8 dts:6800 dts_time:6.8 duration:0 duration_time:0 stream_index:0
pts:6840 pts_time:6.84 dts:6840 dts_time:6.84 duration:0 duration_time:0 stream_index:0
pts:6880 pts_time:6.88 dts:6880 dts_time:6.88 duration:0 duration_time:0 stream_index:0
pts:6920 pts_time:6.92 dts:6920 dts_time:6.92 duration:0 duration_time:0 stream_index:0
pts:6960 pts_time:6.96 dts:6960 dts_time:6.96 duration:0 duration_time:0 stream_index:0
pts:7000 pts_time:7 dts:7000 dts_time:7 duration:0 duration_time:0 stream_index:0
pts:7040 pts_time:7.04 dts:7040 dts_time:7.04 duration:0 duration_time:0 stream_index:0
pts:7080 pts_time:7.08 dts:7080 dts_time:7.08 duration:0 duration_time:0 stream_index:0
pts:7120 pts_time:7.12 dts:7120 dts_time:7.12 duration:0 duration_time:0 stream_index:0
pts:7160 pts_time:7.16 dts:7160 dts_time:7.16 duration:0 duration_time:0 stream_index:0
pts:7200 pts_time:7.2 dts:7200 dts_time:7.2 duration:0 duration_time:0 stream_index:0
pts:7240 pts_time:7.24 dts:7240 dts_time:7.24 duration:0 duration_time:0 stream_index:0
pts:7280 pts_time:7.28 dts:7280 dts_time:7.28 duration:0 duration_time:0 stream_index:0
pts:7320 pts_time:7.32 dts:7320 dts_time:7.32 duration:0 duration_time:0 stream_index:0
pts:7360 pts_time:7.36 dts:7360 dts_time:7.36 duration:0 duration_time:0 stream_index:0
pts:7400 pts_time:7.4 dts:7400 dts_time:7.4 duration:0 duration_time:0 stream_index:0
pts:7440 pts_time:7.44 dts:7440 dts_time:7.44 duration:0 duration_time:0 stream_index:0
pts:7480 pts_time:7.48 dts:7480 dts_time:7.48 duration:0 duration_time:0 stream_index:0
pts:7520 pts_time:7.52 dts:7520 dts_time:7.52 duration:0 duration_time:0 stream_index:0
pts:7560 pts_time:7.56 dts:7560 dts_time:7.56 duration:0 duration_time:0 stream_index:0
pts:7600 pts_time:7.6 dts:7600 dts_time:7.6 duration:0 duration_time:0 stream_index:0
pts:7640 pts_time:7.64 dts:7640 dts_time:7.64 duration:0 duration_time:0 stream_index:0
pts:7680 pts_time:7.68 dts:7680 dts_time:7.68 duration:0 duration_time:0 stream_index:0
pts:7720 pts_time:7.72 dts:7720 dts_time:7.72 duration:0 duration_time:0 stream_index:0
pts:7760 pts_time:7.76 dts:7760 dts_time:7.76 duration:0 duration_time:0 stream_index:0
pts:7800 pts_time:7.8 dts:7800 dts_time:7.8 duration:0 duration_time:0 stream_index:0
pts:7840 pts_time:7.84 dts:7840 dts_time:7.84 duration:0 duration_time:0 stream_index:0
pts:7880 pts_time:7.88 dts:7880 dts_time:7.88 duration:0 duration_time:0 stream_index:0
pts:7920 pts_time:7.92 dts:7920 dts_time:7.92 duration:0 duration_time:0 stream_index:0
pts:7960 pts_time:7.96 dts:7960 dts_time:7.96 duration:0 duration_time:0 stream_index:0
pts:8000 pts_time:8 dts:8000 dts_time:8 duration:0 duration_time:0 stream_index:0
pts:8040 pts_time:8.04 dts:8040 dts_time:8.04 duration:0 duration_time:0 stream_index:0
pts:8080 pts_time:8.08 dts:8080 dts_time:8.08 duration:0 duration_time:0 stream_index:0
pts:8120 pts_time:8.12 dts:8120 dts_time:8.12 duration:0 duration_time:0 stream_index:0
pts:8160 pts_time:8.16 dts:8160 dts_time:8.16 duration:0 duration_time:0 stream_index:0
