运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_lx:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.avi
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-mips64el/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_video /tmp/02.yuv /tmp/02.avi
OpenJDK 64-Bit Zero VM warning: You have loaded library /usr/lib/libffmpeg-jni.so which might have disabled stack guard. The VM will try to fix the stack guard now.
It's highly recommended that you fix the library with 'execstack -c <libfile>', or link it with '-z noexecstack'.
视频编码
Output #0, avi, to '/tmp/02.avi':
pts:169 pts_time:6.76 dts:169 dts_time:6.76 duration:0 duration_time:0 stream_index:0
pts:170 pts_time:6.8 dts:170 dts_time:6.8 duration:0 duration_time:0 stream_index:0
pts:171 pts_time:6.84 dts:171 dts_time:6.84 duration:0 duration_time:0 stream_index:0
pts:172 pts_time:6.88 dts:172 dts_time:6.88 duration:0 duration_time:0 stream_index:0
pts:173 pts_time:6.92 dts:173 dts_time:6.92 duration:0 duration_time:0 stream_index:0
pts:174 pts_time:6.96 dts:174 dts_time:6.96 duration:0 duration_time:0 stream_index:0
pts:175 pts_time:7 dts:175 dts_time:7 duration:0 duration_time:0 stream_index:0
pts:176 pts_time:7.04 dts:176 dts_time:7.04 duration:0 duration_time:0 stream_index:0
pts:177 pts_time:7.08 dts:177 dts_time:7.08 duration:0 duration_time:0 stream_index:0
pts:178 pts_time:7.12 dts:178 dts_time:7.12 duration:0 duration_time:0 stream_index:0
pts:179 pts_time:7.16 dts:179 dts_time:7.16 duration:0 duration_time:0 stream_index:0
pts:180 pts_time:7.2 dts:180 dts_time:7.2 duration:0 duration_time:0 stream_index:0
pts:181 pts_time:7.24 dts:181 dts_time:7.24 duration:0 duration_time:0 stream_index:0
pts:182 pts_time:7.28 dts:182 dts_time:7.28 duration:0 duration_time:0 stream_index:0
pts:183 pts_time:7.32 dts:183 dts_time:7.32 duration:0 duration_time:0 stream_index:0
pts:184 pts_time:7.36 dts:184 dts_time:7.36 duration:0 duration_time:0 stream_index:0
pts:185 pts_time:7.4 dts:185 dts_time:7.4 duration:0 duration_time:0 stream_index:0
pts:186 pts_time:7.44 dts:186 dts_time:7.44 duration:0 duration_time:0 stream_index:0
pts:187 pts_time:7.48 dts:187 dts_time:7.48 duration:0 duration_time:0 stream_index:0
pts:188 pts_time:7.52 dts:188 dts_time:7.52 duration:0 duration_time:0 stream_index:0
pts:189 pts_time:7.56 dts:189 dts_time:7.56 duration:0 duration_time:0 stream_index:0
pts:190 pts_time:7.6 dts:190 dts_time:7.6 duration:0 duration_time:0 stream_index:0
pts:191 pts_time:7.64 dts:191 dts_time:7.64 duration:0 duration_time:0 stream_index:0
pts:192 pts_time:7.68 dts:192 dts_time:7.68 duration:0 duration_time:0 stream_index:0
pts:193 pts_time:7.72 dts:193 dts_time:7.72 duration:0 duration_time:0 stream_index:0
pts:194 pts_time:7.76 dts:194 dts_time:7.76 duration:0 duration_time:0 stream_index:0
pts:195 pts_time:7.8 dts:195 dts_time:7.8 duration:0 duration_time:0 stream_index:0
pts:196 pts_time:7.84 dts:196 dts_time:7.84 duration:0 duration_time:0 stream_index:0
pts:197 pts_time:7.88 dts:197 dts_time:7.88 duration:0 duration_time:0 stream_index:0
pts:198 pts_time:7.92 dts:198 dts_time:7.92 duration:0 duration_time:0 stream_index:0
pts:199 pts_time:7.96 dts:199 dts_time:7.96 duration:0 duration_time:0 stream_index:0
pts:200 pts_time:8 dts:200 dts_time:8 duration:0 duration_time:0 stream_index:0
pts:201 pts_time:8.04 dts:201 dts_time:8.04 duration:0 duration_time:0 stream_index:0
pts:202 pts_time:8.08 dts:202 dts_time:8.08 duration:0 duration_time:0 stream_index:0
pts:203 pts_time:8.12 dts:203 dts_time:8.12 duration:0 duration_time:0 stream_index:0
pts:204 pts_time:8.16 dts:204 dts_time:8.16 duration:0 duration_time:0 stream_index:0
pts:205 pts_time:8.2 dts:205 dts_time:8.2 duration:0 duration_time:0 stream_index:0
pts:206 pts_time:8.24 dts:206 dts_time:8.24 duration:0 duration_time:0 stream_index:0
pts:207 pts_time:8.28 dts:207 dts_time:8.28 duration:0 duration_time:0 stream_index:0
pts:208 pts_time:8.32 dts:208 dts_time:8.32 duration:0 duration_time:0 stream_index:0
pts:209 pts_time:8.36 dts:209 dts_time:8.36 duration:0 duration_time:0 stream_index:0
pts:210 pts_time:8.4 dts:210 dts_time:8.4 duration:0 duration_time:0 stream_index:0
pts:211 pts_time:8.44 dts:211 dts_time:8.44 duration:0 duration_time:0 stream_index:0
pts:212 pts_time:8.48 dts:212 dts_time:8.48 duration:0 duration_time:0 stream_index:0
pts:213 pts_time:8.52 dts:213 dts_time:8.52 duration:0 duration_time:0 stream_index:0
pts:214 pts_time:8.56 dts:214 dts_time:8.56 duration:0 duration_time:0 stream_index:0
pts:215 pts_time:8.6 dts:215 dts_time:8.6 duration:0 duration_time:0 stream_index:0
pts:216 pts_time:8.64 dts:216 dts_time:8.64 duration:0 duration_time:0 stream_index:0
pts:217 pts_time:8.68 dts:217 dts_time:8.68 duration:0 duration_time:0 stream_index:0
pts:218 pts_time:8.72 dts:218 dts_time:8.72 duration:0 duration_time:0 stream_index:0
pts:219 pts_time:8.76 dts:219 dts_time:8.76 duration:0 duration_time:0 stream_index:0
pts:220 pts_time:8.8 dts:220 dts_time:8.8 duration:0 duration_time:0 stream_index:0
pts:221 pts_time:8.84 dts:221 dts_time:8.84 duration:0 duration_time:0 stream_index:0
pts:222 pts_time:8.88 dts:222 dts_time:8.88 duration:0 duration_time:0 stream_index:0
pts:223 pts_time:8.92 dts:223 dts_time:8.92 duration:0 duration_time:0 stream_index:0
pts:224 pts_time:8.96 dts:224 dts_time:8.96 duration:0 duration_time:0 stream_index:0
pts:225 pts_time:9 dts:225 dts_time:9 duration:0 duration_time:0 stream_index:0
pts:226 pts_time:9.04 dts:226 dts_time:9.04 duration:0 duration_time:0 stream_index:0
pts:227 pts_time:9.08 dts:227 dts_time:9.08 duration:0 duration_time:0 stream_index:0
pts:228 pts_time:9.12 dts:228 dts_time:9.12 duration:0 duration_time:0 stream_index:0
pts:229 pts_time:9.16 dts:229 dts_time:9.16 duration:0 duration_time:0 stream_index:0
pts:230 pts_time:9.2 dts:230 dts_time:9.2 duration:0 duration_time:0 stream_index:0
pts:231 pts_time:9.24 dts:231 dts_time:9.24 duration:0 duration_time:0 stream_index:0
pts:232 pts_time:9.28 dts:232 dts_time:9.28 duration:0 duration_time:0 stream_index:0
pts:233 pts_time:9.32 dts:233 dts_time:9.32 duration:0 duration_time:0 stream_index:0
pts:234 pts_time:9.36 dts:234 dts_time:9.36 duration:0 duration_time:0 stream_index:0
pts:235 pts_time:9.4 dts:235 dts_time:9.4 duration:0 duration_time:0 stream_index:0
pts:236 pts_time:9.44 dts:236 dts_time:9.44 duration:0 duration_time:0 stream_index:0
pts:237 pts_time:9.48 dts:237 dts_time:9.48 duration:0 duration_time:0 stream_index:0
pts:238 pts_time:9.52 dts:238 dts_time:9.52 duration:0 duration_time:0 stream_index:0
pts:239 pts_time:9.56 dts:239 dts_time:9.56 duration:0 duration_time:0 stream_index:0
pts:240 pts_time:9.6 dts:240 dts_time:9.6 duration:0 duration_time:0 stream_index:0
pts:241 pts_time:9.64 dts:241 dts_time:9.64 duration:0 duration_time:0 stream_index:0
pts:242 pts_time:9.68 dts:242 dts_time:9.68 duration:0 duration_time:0 stream_index:0
pts:243 pts_time:9.72 dts:243 dts_time:9.72 duration:0 duration_time:0 stream_index:0
pts:244 pts_time:9.76 dts:244 dts_time:9.76 duration:0 duration_time:0 stream_index:0
pts:245 pts_time:9.8 dts:245 dts_time:9.8 duration:0 duration_time:0 stream_index:0
pts:246 pts_time:9.84 dts:246 dts_time:9.84 duration:0 duration_time:0 stream_index:0
pts:247 pts_time:9.88 dts:247 dts_time:9.88 duration:0 duration_time:0 stream_index:0
pts:248 pts_time:9.92 dts:248 dts_time:9.92 duration:0 duration_time:0 stream_index:0
pts:249 pts_time:9.96 dts:249 dts_time:9.96 duration:0 duration_time:0 stream_index:0
pts:250 pts_time:10 dts:250 dts_time:10 duration:0 duration_time:0 stream_index:0
